Date/Time,Cooling:Electricity [J](Monthly),Heating:Gas [J](Monthly),Fans:Electricity [J](Monthly),HeatingCoils:EnergyTransfer [J](Monthly),CoolingCoils:EnergyTransfer [J](Monthly),InteriorLights:Electricity [J](Monthly),InteriorEquipment:Electricity [J](Monthly),Cooling:Electricity [J](RunPeriod),Heating:Gas [J](RunPeriod),Fans:Electricity [J](RunPeriod),HeatingCoils:EnergyTransfer [J](RunPeriod),CoolingCoils:EnergyTransfer [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),Electricity:HVAC [J](Monthly),Gas:Facility [J](Monthly),Gas:HVAC [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:Building [J](RunPeriod),Electricity:HVAC [J](RunPeriod),Gas:Facility [J](RunPeriod),Gas:HVAC [J](RunPeriod) 
January,99242885.2559536,17098724974.0334,2667044571.42855,13678979979.2267,347259503.443495,12519144000.,2879118000.,,,,,,,,18164549456.6846,15398262000.,2766287456.68449,17098724974.0334,17098724974.0334 
February,161399601.723301,11856928716.4091,2414756571.42857,9485542973.12726,563415966.888458,11343024000.,2610036000.,,,,,,,,16529216173.152,13953060000.,2576156173.15186,11856928716.4091,11856928716.4091 
March,772248526.849698,5251268535.4645,2712095999.99997,4201014828.3716,2718122013.54953,12793572000.,2953071000.,,,,,,,,19230987526.8497,15746643000.,3484344526.84968,5251268535.4645,5251268535.4645 
April,2449140798.91245,2472645185.37856,2522879999.99999,1978116148.30285,8252792980.70365,11761200000.,2690820000.,,,,,,,,19424040798.9124,14452020000.,4972020798.91244,2472645185.37856,2472645185.37856 
May,4795302492.57629,183514679.806352,2712095999.99997,146811743.845082,16090272681.9603,12793572000.,2953071000.,,,,,,,,23254041492.5763,15746643000.,7507398492.57627,183514679.806352,183514679.806352 
June,7652128243.60102,645768.610481148,2612982857.14284,516614.888384918,24767238440.1632,12310056000.,2838726000.,,,,,,,,25413893100.7439,15148782000.,10265111100.7439,645768.610481148,645768.610481148 
July,9542861685.41907,0.0,2621993142.85712,0.0,30359507584.5383,12244716000.,2805165000.,,,,,,,,27214735828.2763,15049881000.,12164854828.2762,0.0,0.0 
August,8127121041.86075,804297.969352586,2712095999.99997,643438.375482069,26640898943.8139,12793572000.,2953071000.,,,,,,,,26585860041.8608,15746643000.,10839217041.8607,804297.969352586,804297.969352586 
September,5565399568.27561,44530141.2063061,2567931428.57141,35624112.9650449,18535298270.0615,12035628000.,2764773000.,,,,,,,,22933731996.847,14800401000.,8133330996.84705,44530141.2063061,44530141.2063061 
October,2281138905.90728,1420839539.74238,2667044571.42855,1136671631.7939,7966719237.80185,12519144000.,2879118000.,,,,,,,,20346445477.3358,15398262000.,4948183477.33585,1420839539.74238,1420839539.74238 
November,957851432.952387,6719603251.31556,2612982857.14284,5375682601.05245,3323577911.10273,12310056000.,2838726000.,,,,,,,,18719616290.0952,15148782000.,3570834290.09517,6719603251.31556,6719603251.31556 
December,67387328.0022609,15482323079.1653,2621993142.85712,12385858463.3322,235456557.304286,12244716000.,2805165000.,42471222511.336,60531828169.1013,31445897142.8482,48425462535.2811,139800560091.331,147668400000.,33970860000.,17739261470.8595,15049881000.,2689380470.85938,15482323079.1653,15482323079.1653,255556379654.174,181639260000.,73917119654.1965,60531828169.1013,60531828169.1013 
